actor_name,movies
Kerrice Brooks,['My Old Ass']
Emily Carey,['The Canterville Ghost']
Nick Kroll,[None]
Charlie McElveen,['Terrifier 2']
Romina Tonković,['Canary Black']
Katie Maguire,['Terrifier']
Martin Lawrence,['Bad Boys: Ride or Die']
Milena Smit,['The Platform 2']
Isabela Merced,['Alien: Romulus']
Matt Lucas,['Gladiator II']
Scarlett Johansson,[None]
Temuera Morrison,['Moana 2']
David Jonsson,['Alien: Romulus']
Lola Zackow,['Let Go']
Billy Clements,['Take Cover']
Dafne Keen,['Deadpool & Wolverine']
Sofía Vergara,['Despicable Me 4']
Amelie McLain,['Terrifier 2']
Vanessa Liguori,['Transformers One']
Stephen Graham,[None]
Matthew McConaughey,['Sing: Thriller']
Chris Evans,['Red One']
Bence Okeke,['Alien: Romulus']
Lia Love,['Do Not Enter']
Irma Jämhammar,['Let Go']
Christopher Cordell,['Battle for the Western Front']
Victorya Brandart,['Cash Out']
Hovik Keuchkerian,['The Platform 2']
Sian Webber,['Venom: Let There Be Carnage']
Finn Wittrock,"[""Don't Move""]"
Adriana Ubani,['My Fault']
Tom Morton,['The Substance']
Bryce Johnson,['Terrifier 3']
Margaret Qualley,['The Substance']
Sebastian Bull Sarning,['Azrael']
Christian Erickson,['The Substance']
Nicolas Cage,['Arcadian']
Naomie Harris,['Venom: Let There Be Carnage']
Peggy Lu,"['Venom: The Last Dance', 'Venom', 'Venom: Let There Be Carnage']"
Jenna Ortega,['Beetlejuice Beetlejuice']
David Murgia,['Freedom']
Ving Rhames,['The Wild Robot']
Antonella Rose,['Terrifier 3']
Awhimai Fraser,['Moana 2']
Ioan Gruffudd,['Bad Boys: Ride or Die']
Samara Weaving,['Azrael']
J.K. Simmons,['Red One']
David Harewood,['The Canterville Ghost']
Emma Corrin,['Deadpool & Wolverine']
Auli'i Cravalho,['Moana 2']
Joaquin Phoenix,"['Gladiator', 'Joker: Folie à Deux']"
Lewis Black,['Inside Out 2']
Marta Poveda,['Apocalypse Z: The Beginning of the End']
Eugenia Preciado,['Amityville: Where the Echo Lives']
Radivoje Bukvić,['Freedom']
Sadie Soverall,['Arcadian']
Sebastián Carvajal,['Dominique']
Reid Scott,"['Venom', 'Venom: Let There Be Carnage']"
John Shrapnel,['Gladiator']
Eric Dane,['Bad Boys: Ride or Die']
Matt Berry,['The Wild Robot']
Kate Nichols,"[""Don't Move""]"
Djimon Hounsou,['Gladiator']
Kenta Miyake,"[""My Hero Academia: You're Next""]"
Tim Roth,['Classified']
Julie de Bona,['The Count of Monte-Cristo']
Rachael Crawford,['Time Cut']
Scott Adkins,['Take Cover']
Cailee Spaeny,['Alien: Romulus']
Michael Shanks,['Time Cut']
Stephen Graham,"['Venom: The Last Dance', 'Venom: Let There Be Carnage']"
Léa Luce Busato,['Freedom']
Hugh Jackman,['Deadpool & Wolverine']
Will Ferrell,['Despicable Me 4']
Michael Leavy,['Terrifier']
Maisy Stella,['My Old Ass']
Marissa Bode,['Wicked']
Cynthia Erivo,['Wicked']
Julien de Saint Jean,['The Count of Monte-Cristo']
Ivan Massagué,[None]
Winona Ryder,['Beetlejuice Beetlejuice']
Sergey Safronov,['Whisper of the Witch']
Jason Konopisos-Alvarez,['Transformers One']
Monica Bellucci,['Beetlejuice Beetlejuice']
Bastien Bouillon,['The Count of Monte-Cristo']
Kristin Davis,['Cash Out']
Steven Cree,['Bagman']
Catherine Keener,['Joker: Folie à Deux']
Joe Dixon,['Arcadian']
Steve Tientcheu,['Freedom']
Seth Isaac Johnson,['My Old Ass']
Elliott Fullam,"['Terrifier 3', 'Terrifier 2']"
Lucas Ebel,['Survive']
Meru Nukumi,"[""My Hero Academia: You're Next""]"
Margaret Anne Florence,['Terrifier 3']
Lukas Haas,['Cash Out']
Kristen Wiig,['Despicable Me 4']
Keegan-Michael Key,['Transformers One']
Oliver Reed,['Gladiator']
Yuki Ono,"[""My Hero Academia: You're Next""]"
Ian Monclús,['Apocalypse Z: The Beginning of the End']
Slimane Dazi,['Freedom']
Bill Skarsgård,['The Crow']
Kailey Hyman,['Terrifier 2']
Matthew Macfadyen,['Deadpool & Wolverine']
Joseph Quinn,['Gladiator II']
Jake Ellenz,['Cash Out']
